"","recordID","survivorShip","gender","productType","issueDate","matDate","birthDate","currentDate","baseFee","riderFee","rollUpRate","gbAmt","gmwbBalance","wbWithdrawalRate","withdrawal","FundValue1","FundValue2","FundValue3","FundValue4","FundValue5","FundValue6","FundValue7","FundValue8","FundValue9","FundValue10","FundNum1","FundNum2","FundNum3","FundNum4","FundNum5","FundNum6","FundNum7","FundNum8","FundNum9","FundNum10","FundFee1","FundFee2","FundFee3","FundFee4","FundFee5","FundFee6","FundFee7","FundFee8","FundFee9","FundFee10","age","ttm","fmv","Delta1","Delta2","Delta3","Delta4","Delta5","Rho1y","Rho2y","Rho3y","Rho4y","Rho5y","Rho7y","Rho10y","Rho30y"
"47111",47111,1,"F","WBRP",39173,47939,28126,41791,0.02,0.0065,0,154733.632198,100576.860928,0.05,54156.771269,7752.960815,7224.636058,3991.534907,0,7389.951803,0,5605.101179,6538.878655,4826.964915,6379.027182,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,37.4383561643836,16.8438356164384,45969.38508,-13040.7915,-8608.64985,-9797.71445,-3894.71475,-7516.49255,-0.599063,-0.856435,-1.625007,-2.73213,-6.26925,-11.958262,-28.861452,-5.892708
"47136",47136,1,"M","WBRP",39692,49553,26999,41791,0.02,0.0065,0,284434.606943,213325.955207,0.05,71108.651736,29975.7015,0,18395.422059,16051.626303,20656.165442,0,23617.144824,22451.673526,20881.661574,22610.318733,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,40.5260273972603,21.2657534246575,37429.000423,-40106.11175,-7500.9823,-33825.93565,-22491.69675,-18456.7454,-0.878325,-1.114602,-2.263346,-3.277414,-6.34664,-17.944546,-65.725018,-21.085448
"47179",47179,1,"F","WBRP",38412,44986,21125,41791,0.02,0.0065,0,309905.731125,170448.152119,0.05,139457.579006,0,15304.97871,9255.229739,8386.306195,0,0,12420.774526,12068.32135,10917.055989,12834.248885,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,56.6191780821918,8.75342465753425,87499.034376,-13231.75565,-19070.70265,-22983.10355,-15058.07755,-2290.85735,-1.310229,-2.070419,-4.348741,-7.779674,-11.803792,-29.592949,-28.47876,0
"47728",47728,1,"M","WBRP",38108,46143,19756,41791,0.02,0.0065,0,384216.513919,192108.25696,0.05,192108.25696,14339.288089,13497.219302,8622.850982,6782.296699,12353.009958,14112.596486,11222.48729,10165.429312,0,11199.05272,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,60.3698630136986,11.9232876712329,86478.745404,-31119.6831,-18703.02005,-14225.24045,-12123.7885,-12715.23605,-1.586304,-2.538891,-4.882044,-9.461958,-15.109879,-27.961522,-30.601418,0
"48112",48112,1,"M","WBRP",39995,46935,25993,41791,0.02,0.0065,0,421735.989963,337388.791971,0.05,84347.197993,50115.914996,48055.292357,29239.816616,22613.220102,28592.103801,49456.770958,38455.73599,34111.863187,34191.883186,34696.68683,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,43.2821917808219,14.0931506849315,10325.18696,-45364.4867,-29797.42535,-28738.47555,-19155.7307,-15730.93475,-0.673966,-0.767916,-1.73137,-2.603826,-5.127367,-13.545296,-67.674496,-27.712391
"48290",48290,1,"F","WBRP",38322,45261,25903,41791,0.02,0.0065,0,123615.289474,67988.40921,0.05,55626.880263,0,4558.102139,2888.817731,2607.301885,0,4891.717305,3858.913784,3742.541026,3360.303067,3982.350877,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,43.5287671232877,9.50684931506849,37783.425251,-6841.4107,-7591.92745,-7210.82115,-4732.69435,-721.1313,-0.537949,-0.93028,-2.10981,-3.047571,-4.28653,-9.631733,-13.182665,0
"48363",48363,1,"M","WBRP",38991,47027,21125,41791,0.02,0.0065,0,403171.383033,262061.398972,0.05,141109.984062,17952.270995,16320.469883,9634.62618,11179.690295,16526.011464,17384.67919,13253.794241,14574.828837,11424.024179,14498.269411,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,56.6191780821918,14.3452054794521,104768.856876,-38249.452,-25033.52045,-22759.5301,-17865.03265,-16507.7468,-1.579619,-2.275275,-4.355982,-7.32279,-15.816939,-30.718982,-64.39493,-10.481435
"48710",48710,1,"F","WBRP",40483,49249,27061,41791,0.02,0.0065,0,270208.042814,229676.836392,0.05,40531.206422,38402.467268,34811.492532,0,20342.694053,25311.80336,0,31758.044589,28182.146922,28562.109374,28592.590562,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,40.3561643835616,20.4328767123288,9584.078003,-32242.01955,-20169.9026,-17759.09145,-19017.4412,-15795.72905,-0.487186,-0.525681,-1.224718,-1.839199,-3.594804,-9.311163,-52.647613,-31.388623
"48891",48891,1,"F","WBRP",37865,45170,20607,41791,0.02,0.0065,0,160911.074665,80455.537332,0.05,80455.537332,6579.387291,6311.282308,4050.381717,2641.4512,5152.903603,6528.425812,5211.080649,4300.93737,4698.051723,4927.607779,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,58.0383561643836,9.25753424657534,32506.399213,-14041.71755,-9801.94625,-9340.902,-4918.4844,-5290.23965,-0.679713,-1.068878,-2.128701,-3.750497,-6.537471,-12.557115,-9.262486,0
"48916",48916,1,"F","WBRP",38930,47331,21520,41791,0.02,0.0065,0,422606.516555,274694.235761,0.05,147912.280794,25010.279623,0,13107.294255,14766.525186,0,24251.06843,18247.971048,19773.457705,15667.472332,19737.167925,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,55.5369863013699,15.1780821917808,114540.482194,-53123.9445,-15559.6714,-31256.7394,-24000.75875,-3329.27355,-1.668542,-2.375583,-4.63527,-8.101126,-16.614905,-32.595833,-68.468406,-10.275159
"49035",49035,1,"F","WBRP",39173,47209,26177,41791,0.02,0.0065,0,411352.248582,267378.961578,0.05,143973.287004,19311.227445,17995.265738,0,12988.171764,18407.037451,18884.168938,13961.296374,16287.167697,12023.099249,15889.006501,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,42.7780821917808,14.8438356164384,109866.821632,-42089.3912,-27785.4764,-15871.76325,-20662.38015,-18717.50715,-1.59002,-2.269995,-4.257456,-6.520895,-15.808937,-33.560216,-77.07161,-15.599089
"50177",50177,1,"M","WBSU",39326,47727,27546,41791,0.02,0.0075,0,158180.001877,110726.001314,0.05,47454.000563,7365.052682,7220.807504,3852.660729,5125.471546,7006.821698,7348.213334,5365.711157,6315.200169,4704.642243,6175.62668,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,39.027397260274,16.2630136986301,44860.151063,-15883.74045,-10791.1986,-9214.26115,-7926.6717,-6986.53965,-0.604227,-0.82233,-1.59201,-2.584546,-6.03932,-12.511472,-31.073371,-7.493646
"50181",50181,1,"F","WBSU",38078,44652,20515,41791,0.02,0.0075,0,132040.697444,54279.123041,0.05,65043.974514,0,0,0,0,0,0,11818.645679,0,10511.203699,0,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,58.2904109589041,7.83835616438356,34147.849524,-5514.242,-2939.8303,-12372.7189,0,0,-0.630495,-1.536314,-2.626856,-2.602016,-4.36423,-9.158132,-2.201295,0
"50492",50492,1,"M","WBSU",37196,43405,25781,41791,0.02,0.0075,0,359777.795602,143911.118241,0.05,215866.677361,0,0,10679.281852,0,0,0,13570.809736,0,0,0,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,43.8630136986301,4.42191780821918,130841.028466,-6675.80375,0,-17173.69875,0,0,-2.687614,-3.019093,-4.91647,-17.100833,-17.149805,0,0,0
"50681",50681,1,"M","WBSU",40452,49949,21186,41791,0.02,0.0075,0,443592.120888,377053.302755,0.05,66538.818133,49861.193522,46732.476835,32161.110851,26232.232834,33011.215512,48688.101152,40181.874871,36466.223938,36138.401289,36979.648149,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,56.4520547945205,22.3506849315068,12829.807187,-51319.1752,-33340.99215,-34515.9586,-23365.2727,-19481.619,-0.732863,-0.800642,-1.893682,-2.859653,-5.626875,-14.673643,-79.754318,-45.469496
"50719",50719,1,"F","WBSU",37895,45566,20941,41791,0.02,0.0075,0,405341.453836,189687.132768,0.05,202670.726918,14608.786819,13676.504022,8963.30093,6281.396262,12035.984483,14353.97661,0,9877.878015,10330.87618,11136.500076,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,57.1232876712329,10.3424657534247,94778.74644,-27428.1657,-22400.95245,-16504.32875,-11983.19385,-12835.8149,-1.819102,-3.21097,-7.429976,-10.107251,-14.363369,-29.165205,-15.895838,0
"51738",51738,1,"M","WBSU",37956,45261,19391,41791,0.02,0.0075,0,140256.627183,67303.727601,0.05,70088.039259,0,12912.50948,8126.514302,0,0,0,0,0,0,10607.918356,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,61.3698630136986,9.50684931506849,35239.644002,-1849.50985,-13198.5369,-8901.6151,-1849.50985,-1849.50985,-0.607448,-1.195705,-2.500417,-3.164907,-4.656957,-9.791555,-7.005319,0
"51905",51905,1,"F","WBSU",39052,48183,24777,41791,0.02,0.0075,0,158544.584483,103053.979914,0.05,55490.604569,7097.912039,6492.198562,3722.433558,4565.283153,0,6890.12419,5179.844218,5856.121623,4452.193926,5767.813513,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,46.613698630137,17.5123287671233,48434.924713,-15652.5755,-10277.8539,-9185.835,-7449.4813,-1000.4942,-0.631841,-0.907992,-1.864373,-3.24869,-6.234598,-11.883343,-27.738052,-4.974913
"51914",51914,1,"M","WBSU",37257,43831,21064,41791,0.02,0.0075,0,245236.30898,98094.523592,0.05,147141.785388,0,4501.292239,2831.058784,1945.884576,4040.56455,0,3513.043008,2999.662414,3310.913474,3557.403379,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,56.786301369863,5.58904109589041,76288.667803,-3555.23285,-5596.0257,-6850.6806,-3692.3803,-4229.4369,-1.614759,-3.060206,-3.273812,-4.382208,-14.72125,-7.88534,0,0
"51978",51978,1,"M","WBSU",38353,46023,20637,41791,0.02,0.0075,0,333038.977515,178975.148975,0.05,149867.539882,0,15433.444657,9556.938046,8456.82903,14853.216402,16368.84118,0,12280.441663,11193.719849,0,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,57.9561643835616,11.5945205479452,86433.20232,-13974.28385,-22188.86395,-15082.7281,-12608.6739,-13021.6987,-1.39481,-2.233045,-4.862106,-8.27058,-12.225169,-23.74386,-31.782742,-1.066014
"51985",51985,1,"F","WBSU",40909,49310,21459,41791,0.02,0.0075,0,440328.310094,392465.183328,0.05,43986.303805,56665.273698,0,46113.059959,33946.356114,40322.353659,55583.022599,51228.874907,44017.994269,48436.184341,45649.822278,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,55.7041095890411,20.6,3337.506109,-51619.44225,-15893.12315,-39062.46,-25689.41535,-21170.8939,-0.335794,-0.535701,-1.584548,-2.336838,-4.686199,-12.286922,-75.201777,-53.36165
"52183",52183,1,"M","WBSU",39173,47209,27030,41791,0.02,0.0075,0,413357.648099,268682.471264,0.05,144675.176835,19021.654333,17725.425557,9793.109894,12793.413284,18131.022727,18600.999597,13751.945827,16042.940558,0,15650.749815,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,40.441095890411,14.8438356164384,113709.762617,-42343.84075,-24888.33465,-17191.249,-20782.8412,-18803.1123,-1.638914,-2.362064,-4.414321,-6.905979,-16.744764,-33.076847,-76.318904,-15.465868
"52563",52563,1,"M","WBSU",39783,48183,25750,41791,0.02,0.0075,0,143214.193553,98526.338924,0.05,35743.879023,15590.84271,15029.594842,9384.424765,6371.949806,8259.701727,15427.831814,12158.549186,10149.767081,10898.514285,10576.419403,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,43.9479452054794,17.5123287671233,1005.469318,-13668.4362,-9096.3916,-8913.62755,-5470.88305,-4500.0183,-0.228575,-0.298596,-0.621375,-0.914906,-1.811342,-4.904635,-18.108306,-4.595855
"53372",53372,1,"M","WBSU",38534,45474,22678,41791,0.02,0.0075,0,154616.581147,87978.706292,0.05,61846.632459,0,9245.722037,6145.478983,0,9327.604196,9976.529372,8054.559637,0,7040.985825,0,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,52.3643835616438,10.0904109589041,37734.294089,-8673.36025,-13328.1698,-12954.7324,0,-8085.7905,-0.651164,-0.980235,-2.008652,-3.646253,-6.058343,-11.621895,-16.278576,-0.237039
"53987",53987,1,"M","WBSU",39417,48549,21398,41791,0.02,0.0075,0,317165.85242,222016.096694,0.05,95149.755726,17537.277141,0,9088.80212,11578.187343,15772.042955,17615.608855,12715.879595,14638.595033,11184.78903,14400.70954,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,55.8712328767123,18.5150684931507,80812.019787,-36895.74715,-11023.85615,-21410.00525,-17848.7632,-15586.787,-1.186141,-1.643119,-3.135417,-4.721611,-11.199786,-25.406932,-60.784522,-15.631883
"54215",54215,1,"M","WBSU",40817,49949,26785,41791,0.02,0.0075,0,457574.201493,399271.371712,0.05,45097.135432,53831.100763,51957.386374,40954.12285,30878.888981,36807.971151,53133.538388,47071.643797,40926.73669,44111.593566,42234.849214,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,41.1123287671233,22.3506849315068,2308.572318,-48906.366,-31953.58995,-35591.68255,-23858.6509,-19575.7079,-0.374386,-0.517992,-1.652265,-2.584946,-5.177331,-13.562272,-77.729385,-48.648309
"54468",54468,1,"F","WBSU",40664,49796,20729,41791,0.02,0.0075,0,219709.727099,186753.268034,0.05,32956.459065,22040.8091,19747.717494,15397.717409,13640.964644,16344.363018,21129.752298,18474.679754,17462.430129,16644.555531,17360.570116,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,57.7041095890411,21.9315068493151,11805.21739,-26393.5939,-16538.1926,-18319.7105,-13139.65015,-10751.4959,-0.40573,-0.428929,-1.04977,-1.544061,-3.042559,-7.913949,-45.727877,-28.986481
"54487",54487,1,"M","WBSU",37469,44774,28399,41791,0.02,0.0075,0,137859.071511,60558.92241,0.05,75822.489331,4930.866174,5286.927879,2943.033509,1787.306426,3696.563337,5122.195739,3848.015033,3080.719345,3567.023637,3665.984259,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,36.6904109589041,8.17260273972603,26782.418691,-10922.25425,-8202.2074,-7193.5306,-3594.10805,-3953.9797,-0.621729,-1.046816,-2.416471,-3.513904,-5.281872,-9.319458,-2.573104,0
"54766",54766,1,"F","WBSU",37135,43344,20424,41791,0.02,0.0075,0,354531.032863,141812.413145,0.05,212718.619718,0,0,4473.915605,3030.858865,6486.035516,7843.893754,5789.473294,4910.806266,5509.291039,5922.131247,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,58.5397260273973,4.25479452054795,109687.229972,-10644.601,-5664.96415,-11739.17235,-6278.13515,-7237.6866,-2.924135,-4.11416,-4.857851,-20.229205,-11.187943,0,0,0
"54884",54884,1,"F","WBSU",40299,49430,26299,41791,0.02,0.0075,0,235338.314899,175653.185208,0.05,47067.66298,0,36967.694311,0,20094.421549,25080.964822,39261.928856,0,0,30764.261847,29711.639819,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,42.4438356164384,20.9287671232877,8015.995832,-13213.54225,-29292.1707,-12395.1839,-13159.18645,-16501.29695,-0.467655,-0.557424,-1.200854,-1.769602,-3.482235,-9.079512,-42.740668,-17.408518
"55383",55383,1,"M","WBSU",39600,48000,22372,41791,0.02,0.0075,0,154121.61691,115591.212683,0.05,38530.404228,0,12105.413443,6525.811999,7186.186805,9467.792777,12337.485736,9050.367344,9665.971749,7937.983797,9560.497647,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,53.2027397260274,17.0109589041096,27318.752965,-13732.6957,-15552.6259,-13486.4776,-10283.1004,-8618.0567,-0.510657,-0.658244,-1.314126,-1.89673,-3.860498,-11.339237,-33.02288,-9.544485
"55629",55629,1,"F","WBSU",39052,48183,21217,41791,0.02,0.0075,0,407129.487286,264634.166736,0.05,142495.32055,22032.8155,20152.604359,0,14171.215543,20612.354482,21387.81577,16078.890713,18178.141198,13820.172299,0,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,56.3671232876712,17.5123287671233,106141.712812,-44522.35565,-28115.1898,-15055.2618,-19674.1318,-17808.0345,-1.596198,-2.28776,-4.340064,-6.981045,-15.938404,-32.319999,-69.82716,-12.365093
"56110",56110,1,"F","WBSU",39783,46722,27181,41791,0.02,0.0075,0,421895.388819,289134.630802,0.05,105264.660469,50893.613492,49061.516753,30633.833956,20800.129708,26962.369839,50361.492575,39689.484039,33132.161775,35576.317713,0,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,40.027397260274,13.5095890410959,3728.311453,-40654.365,-26131.4051,-25641.1734,-14905.64185,-11843.9501,-0.651766,-0.848794,-1.784914,-2.6406,-5.245052,-14.219634,-52.300082,-12.991437
"56157",56157,1,"F","WBSU",37196,43770,26420,41791,0.02,0.0075,0,326932.99242,130773.196968,0.05,196159.795452,0,5803.179577,3307.124373,2382.140435,0,0,4202.56308,3673.073878,3985.782801,4375.173495,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,42.1123287671233,5.42191780821918,112153.191336,-4816.03435,-7918.59675,-9098.7379,-5078.24995,-875.9464,-2.452816,-2.760957,-4.445552,-5.990058,-21.011694,-8.170753,0,0
"56844",56844,1,"F","WBSU",39479,47515,21002,41791,0.02,0.0075,0,166265.592454,116385.914718,0.05,49879.677736,10789.606866,0,5549.329788,6325.434209,8707.926486,10905.541837,7790.136087,8476.860829,6874.429613,8468.7693,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,56.9561643835616,15.6821917808219,36188.894214,-21811.0205,-6500.1799,-12661.3428,-9736.0191,-8454.278,-0.588886,-0.80284,-1.541804,-2.22813,-4.828389,-13.38853,-34.750086,-9.266476
"57409",57409,1,"F","WBSU",37196,44866,26268,41791,0.02,0.0075,0,144191.4296,57676.57184,0.05,86514.85776,0,0,0,0,0,0,12067.316777,0,0,0,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,42.5287671232877,8.42465753424658,48894.969787,-6079.69445,0,-6079.69445,0,0,-1.079826,-1.217294,-1.949226,-2.625657,-4.871197,-8.407171,-1.112212,0
"57480",57480,1,"M","WBSU",40422,49919,20729,41791,0.02,0.0075,0,280146.003947,238124.103355,0.05,42021.900592,0,43810.592009,0,23642.337676,29874.327723,45609.709444,37541.055086,0,33746.818134,34112.214049,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,57.7041095890411,22.2684931506849,6107.225234,-20390.13275,-29285.1197,-18961.6817,-13189.96395,-16772.0547,-0.434208,-0.467041,-1.118665,-1.703078,-3.364194,-8.755498,-47.827238,-26.679888
"58213",58213,1,"M","WBSU",37257,46023,27089,41791,0.02,0.0075,0,357665.411544,143066.164618,0.05,214599.246926,5286.044852,0,3509.458242,2412.171977,5008.794816,5467.174278,4354.864621,3718.463933,4104.299298,4409.854955,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,40.2794520547945,11.5945205479452,112388.590281,-12356.6125,-3945.96495,-8653.455,-4675.2221,-5354.14075,-2.430675,-4.321503,-4.810791,-6.475186,-12.003421,-21.916686,-3.648824,0
"58224",58224,1,"M","WBSU",40695,49461,26146,41791,0.02,0.0075,0,211696.372643,190526.735378,0.05,21169.637264,23789.953928,21496.652876,16602.740377,14572.429164,17283.383056,22884.067593,19930.596321,18750.679095,17998.226126,18650.129568,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,42.8630136986301,21.013698630137,8548.612155,-26996.68675,-16961.18155,-18699.73895,-13292.64795,-10764.64895,-0.377785,-0.359668,-0.91232,-1.412397,-2.742425,-7.182395,-43.38747,-28.451346
"58557",58557,1,"M","WBSU",37742,45413,21064,41791,0.02,0.0075,0,459832.50205,168779.915346,0.05,252907.876127,16101.537448,16392.816397,10415.539372,6094.834959,12342.579498,16367.165354,13075.636781,0,0,12137.7367,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,56.786301369863,9.92328767123288,78126.946624,-31262.56835,-22778.00905,-17145.10315,-7508.45505,-13185.2788,-2.037235,-3.550441,-8.498324,-11.89286,-16.647882,-24.451528,-2.272492,0
"58635",58635,1,"M","WBSU",39600,47270,21064,41791,0.02,0.0075,0,416619.875675,312464.906756,0.05,104154.968919,0,42256.352682,22779.644386,25084.813955,33049.213278,43066.447165,0,33740.996386,27709.110845,0,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,56.786301369863,15.0109589041096,71125.633979,-30647.0442,-47978.71145,-29912.3084,-30242.59215,-24631.68755,-1.356461,-1.755168,-3.498833,-5.052113,-10.208355,-30.089217,-86.779729,-24.90667
"58848",58848,1,"F","WBSU",40634,49035,26512,41791,0.02,0.0075,0,433912.547479,368825.665357,0.05,65086.882122,47280.054163,42013.258049,32180.040309,29974.758868,35614.319601,45176.718772,39119.797227,0,34973.345178,37286.951494,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,41.8602739726027,19.8465753424658,31323.724709,-51376.9402,-38196.05565,-42113.51415,-20718.3232,-25097.1235,-0.875858,-0.939919,-2.136613,-3.282138,-6.43154,-16.975969,-98.559269,-61.585005
"59129",59129,1,"M","WBSU",39479,48245,19815,41791,0.02,0.0075,0,178271.247953,124789.873567,0.05,53481.374386,21275.304265,21554.402549,0,0,0,21503.908681,0,0,13555.228053,16698.999867,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,60.2082191780822,17.6821917808219,25655.560567,-23937.8877,-23408.5823,-8212.0811,-2181.93115,-2181.93115,-0.500816,-0.680386,-1.345509,-1.975761,-4.206887,-11.500268,-32.647188,-8.563359
"59278",59278,1,"F","WBSU",37438,45839,26177,41791,0.02,0.0075,0,400850.455854,174062.955555,0.05,220467.75072,17565.018155,18634.728593,0,6380.557524,13149.472272,18169.515086,13621.507319,10986.232989,0,13000.83039,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,42.7780821917808,11.0904109589041,75531.508166,-38943.78935,-25676.9217,-8417.0438,-12856.97305,-14123.15035,-1.832862,-3.066535,-7.167422,-10.379938,-15.241624,-25.954111,-5.876129,0
"59943",59943,1,"F","WBSU",38991,47757,27242,41791,0.02,0.0075,0,158205.270053,102833.425534,0.05,55371.844518,0,12360.781607,7297.063806,8467.262962,0,13166.791417,0,11038.66969,0,0,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,39.8602739726027,16.3452054794521,47054.021048,-11645.0706,-15348.6317,-6252.55615,-12008.07535,0,-0.633054,-0.904506,-1.847885,-3.234825,-6.238815,-11.994515,-27.125911,-4.510046
"60000",60000,1,"M","WBSU",37773,45444,25294,41791,0.02,0.0075,0,141525.180807,69978.787855,0.05,70762.590404,0,0,7013.961198,4208.580533,8442.424127,0,8837.693845,6997.983931,0,0,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,45.1972602739726,10.0082191780822,36728.046792,-7159.3706,0,-10327.1699,-6904.749,-7628.93435,-0.645216,-1.050269,-3.248435,-3.195922,-4.661837,-10.539979,-6.228797,0
"60471",60471,1,"M","WBRU",37561,44866,26665,41791,0.02,0.0075,0.05,480208.644252,71355.423441,0.05,209412.625293,0,8490.73681,0,0,6071.980943,0,6407.412922,5053.362525,0,6030.964621,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,41.441095890411,8.42465753424658,64293.756182,-6818.48255,-9575.8461,-4337.89565,-3666.70225,-7150.92115,-3.871336,-4.461339,-2.917692,0,0,0,0,0
"60804",60804,1,"F","WBRU",38108,44682,20546,41791,0.02,0.0075,0.05,525779.80266,109636.745266,0.05,213146.444031,4733.145178,0,2846.250476,2238.716087,4077.509926,4658.318293,0,3355.428277,3303.892566,3696.609068,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,58.2054794520548,7.92054794520548,104562.858369,-5794.97995,-2101.4682,-3426.77355,-2548.72595,-2579.10225,-4.237633,-5.451108,-8.82353,-8.637252,0,0,0,0
"60857",60857,1,"F","WBRU",38384,46054,19450,41791,0.02,0.0075,0.05,214830.836147,58315.460586,0.05,80166.411872,0,0,0,0,15413.990236,0,0,0,11312.75585,0,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,61.2082191780822,11.6794520547945,41694.008525,0,-3093.15415,-7225.64975,0,-13874.7638,-1.358508,-3.807229,-3.5891,-4.628764,-3.407195,0,0,0
