"","recordID","gender","productType","age","ttm","gbAmt","gmwbBalance","wbWithdrawalRate","withdrawal","FundValue1","FundValue2","FundValue3","FundValue4","FundValue5","FundValue6","FundValue7","FundValue8","FundValue9","FundValue10","fmv"
"36138",36138,"F","DBAB",44.9479452054794,9.50684931506849,382358.259227,0,0,0,34458.049225,36505.293702,21123.47098,11935.79889,24487.839641,35601.260563,27245.919032,20954.321426,25295.129588,25110.6316,108847.117377
"36399",36399,"F","DBAB",52.7835616438356,11.3424657534247,152020.314457,0,0,0,0,24814.229634,0,0,0,0,18455.16172,22073.834151,16065.174588,21410.854154,46751.192627
"36514",36514,"M","DBAB",44.7780821917808,15.5972602739726,383337.372619,0,0,0,34190.380591,31392.701136,19439.47748,17201.779136,30212.476462,33295.362801,26014.279444,24979.273489,22768.805646,26693.21368,77449.424911
"36604",36604,"M","DBAB",60.041095890411,11.841095890411,135062.609386,0,0,0,18311.510242,17614.318712,11248.642273,7293.373934,9293.858221,18095.996192,14423.485345,11719.687789,12972.853648,12231.114007,24773.309072
"36866",36866,"M","DBAB",40.7753424657534,6.17260273972603,154213.549525,0,0,0,17802.74776,19088.298106,0,6453.01745,13346.333555,18493.537546,13893.145464,11122.846874,12878.634266,0,57415.698375
"36972",36972,"M","DBAB",39.5260273972603,12.7561643835616,163715.195985,0,0,0,16383.595028,16489.750691,8531.06776,9561.494336,13089.060822,16515.991501,11902.085049,12842.460136,10508.009088,12836.200374,31731.57637
"37027",37027,"M","DBAB",45.358904109589,22.2684931506849,433739.60233,0,0,0,50052.070528,50238.064079,45074.879475,33479.603249,38439.520138,50170.161959,47560.178468,41027.322578,46653.204731,43081.871417,41273.78022
"37190",37190,"M","DBAB",46.0301369863014,9.00547945205479,412009.150324,0,0,0,36925.611552,0,0,18625.053842,39040.37922,38342.242401,29183.650092,27398.082762,27109.467004,31758.520357,129480.46383
"37445",37445,"F","DBAB",38.1917808219178,18.7616438356164,390513.317614,0,0,0,34126.96256,30947.229376,17477.378854,22004.071399,31378.526666,33013.322321,24607.496764,28186.645228,20997.874304,27467.994942,65902.597785
"37630",37630,"M","DBAB",61.6219178082192,20.2657534246575,174278.92712,0,0,0,16488.720449,16165.787468,8625.253407,11474.794702,15686.720679,16451.020881,12012.637939,14138.333378,10532.651171,0,29583.559953
"37742",37742,"M","DBAB",53.2027397260274,16.6821917808219,445905.350715,0,0,0,39327.696483,36483.044036,23353.447394,18428.423244,34909.296027,38490.069023,30588.412563,27752.869105,27095.349145,30681.552104,88012.830086
"37997",37997,"F","DBAB",59.958904109589,20.2657534246575,235425.620651,0,0,0,27167.313534,27268.267303,24465.788734,18172.09296,20864.241672,27231.411321,25814.761839,22268.851702,25322.473715,23384.021802,24755.918739
"38521",38521,"M","DBAB",53.7013698630137,9.42465753424658,131301.844503,0,0,0,14843.13402,15745.087346,9324.155432,5532.984261,11259.784922,15343.44186,11881.804651,9370.875123,0,0,36265.915321
"38572",38572,"M","DBAB",39.6931506849315,9.84109589041096,418997.066485,0,0,0,35697.758157,33635.565655,21132.118946,16575.505861,30472.066961,35147.739185,27720.503891,25074.864368,24653.913058,27645.780322,121143.944497
"38654",38654,"F","DBAB",37.6904109589041,9.67671232876712,157340.913529,0,0,0,15554.027259,13573.265682,8346.049159,8908.074945,13983.379632,0,11485.43085,12113.956776,9780.81839,12206.410194,45756.270888
"38910",38910,"M","DBAB",60.6219178082192,10.427397260274,431832.058672,0,0,0,33773.095334,37532.514044,21389.083401,15406.678039,32489.1038,35667.730122,27180.402697,23755.890215,25778.359426,28296.773948,127790.261945
"39930",39930,"M","DBAB",45.6109589041096,11.5095890410959,124298.349156,0,0,0,0,0,10263.934237,0,15578.05712,16698.53354,13011.568607,11443.37006,0,13448.670585,30403.224195
"40106",40106,"F","WBRP",38.1917808219178,8.83835616438356,394644.153208,197322.076604,0.05,197322.076604,0,13987.867865,8788.117035,6893.179326,12672.278225,14616.72851,11527.998356,10427.768426,10252.709342,11496.923409,100199.433301
"40111",40111,"F","WBRP",58.3698630136986,18.9287671232877,440418.503405,396376.653065,0.05,44041.850341,52694.144899,52457.499828,48334.474113,31753.688351,37121.821407,52651.638426,50537.899415,41009.943483,49635.07524,43772.809896,-4620.955226
"40203",40203,"M","WBRP",54.2027397260274,19.013698630137,148866.778897,111650.084173,0.05,37216.694724,10873.037829,10628.086873,5729.411653,6309.195304,8312.357492,10831.83741,7945.874035,8486.350999,6969.244115,8393.748798,23794.813928
"41085",41085,"M","WBRP",61.041095890411,7.75342465753425,252073.258729,100829.303492,0.05,151243.955238,4264.839254,4377.155991,2735.54025,2011.649706,4074.414736,4360.780567,3453.123047,0,3204.678154,3540.449409,71301.36108
"41194",41194,"M","WBRP",59.5397260273973,10.6794520547945,139082.011727,69541.005864,0.05,69541.005864,0,6952.91495,4450.684909,3512.07699,0,0,5829.519894,0,5163.814126,0,41906.269283
"41305",41305,"F","WBRP",46.1972602739726,18.5150684931507,141046.833965,91680.442077,0.05,49366.391888,6013.855081,5500.651613,3153.910029,3868.032054,5626.140369,5837.802461,4388.731826,4961.722065,3772.214831,4886.901163,40045.37849
"41472",41472,"M","WBRP",39.8602739726027,18.8465753424658,147422.64325,95824.718113,0.05,51597.925138,6411.433885,5974.527349,3300.863085,4312.144569,0,6269.648108,4635.2273,5407.429391,3991.735178,5275.237681,44937.069513
"41708",41708,"M","WBRP",52.2027397260274,11.5945205479452,402636.620559,181186.479251,0.05,221450.141307,24452.091652,0,0,8291.297122,16849.407493,0,19512.3573,14710.679478,18199.333389,17707.584999,70215.258752
"41950",41950,"M","WBRP",41.027397260274,5.75342465753425,252955.667399,101182.266959,0.05,151773.400439,4279.768767,4392.478681,2745.116294,2018.691695,4088.677649,4376.045933,3465.211064,0,3215.896463,3552.843121,75605.074167
"42103",42103,"M","WBRP",56.3671232876712,22.6027397260274,400108.503998,380103.078799,0.05,20005.4252,46151.562992,45078.948817,39165.798096,32974.175188,36543.978227,45754.956933,42561.712981,39082.023078,40924.550155,39779.391355,2014.676752
"42261",42261,"M","WBRP",57.1232876712329,21.2657534246575,290750.408805,232600.327044,0.05,58150.081761,32353.5671,30718.657705,18660.731782,15555.079963,19675.207467,31800.627889,24682.783492,22727.549146,21829.684378,22870.489526,9719.246013
"42740",42740,"M","WBRP",55.6191780821918,15.5123287671233,401141.333216,361027.199894,0.05,40114.133322,49079.446975,47733.952289,40160.602366,28198.274394,33535.19408,48591.405265,44493.721209,37343.157998,42407.424113,39128.743214,-155.657399
"42969",42969,"F","WBRP",55.786301369863,8.92054794520548,435759.311051,174303.72442,0.05,261455.586631,0,25499.543724,0,0,0,0,0,17506.501515,0,20098.668406,119039.261226
"43066",43066,"F","WBRP",56.5369863013699,17.5123287671233,155231.286491,100900.336219,0.05,54330.950272,0,0,8536.930441,10469.899358,0,15801.628161,0,13430.274085,0,0,47206.921813
"43605",43605,"F","WBRP",41.8602739726027,20.9287671232877,435272.658371,413509.025453,0.05,21763.632919,46634.745268,45815.758237,43219.89875,37077.367568,39856.547804,46336.438394,44916.371663,41644.354259,44016.954715,42457.483911,9060.502237
"43723",43723,"F","WBRP",42.6109589041096,13.3424657534247,381544.291608,362467.077028,0.05,19077.21458,0,0,0,0,0,0,435998.3452,0,0,0,4856.410305
"43736",43736,"M","WBRP",59.5397260273973,17.6821917808219,134971.226306,87731.297099,0.05,47239.929207,5924.177387,5358.030213,3059.389527,3777.783001,5427.752536,5724.809871,4289.625627,4866.076329,3663.598583,4759.874893,34245.215992
"44266",44266,"M","WBRP",52.7013698630137,11.1753424657534,135090.766969,81054.460181,0.05,54036.306788,6023.556422,5425.031061,3460.929028,3198.364792,5329.441543,5817.400523,4605.452047,4518.236836,4013.631934,4740.17646,32411.04776
"44372",44372,"M","WBRP",42.2794520547945,14.5972602739726,425887.220428,255532.332257,0.05,170354.888171,21570.841269,0,11494.722007,12303.344996,19495.389907,0,15873.382989,16765.604668,13474.679268,16888.785747,120612.456554
"44684",44684,"M","WBRP",41.1945205479452,12.1753424657534,141511.43203,84906.859218,0.05,56604.572812,10058.984874,0,5779.547879,5341.08105,0,9714.716652,0,7545.189719,6702.529218,0,38734.273306
"44890",44890,"M","WBRP",41.3561643835616,11.9232876712329,338124.503869,169062.251934,0.05,169062.251934,11263.892859,10602.42539,6773.479199,5327.674769,9703.618463,11085.820564,8815.562785,7985.215578,7862.571394,8797.154306,82384.736621
"45138",45138,"M","WBRP",41.3561643835616,6.92054794520548,444366.825595,177746.730238,0.05,266620.095357,8262.407471,8227.117825,4891.432841,3570.180543,7290.764754,8340.01792,6423.054034,5648.259915,5814.801166,0,128677.436685
"45689",45689,"F","WBRP",44.7780821917808,8.59178082191781,321298.967783,160649.483891,0.05,160649.483891,0,0,0,13792.695531,0,29030.534072,23200.493539,0,0,0,96733.942224
"45886",45886,"M","WBRP",52.9534246575342,6.00547945205479,275083.829518,110033.531807,0.05,165050.297711,3878.734635,0,0,1956.410155,0,0,0,0,0,0,102346.49418
"46060",46060,"M","WBRP",45.9479452054794,15.6821917808219,148304.938155,103813.456709,0.05,44491.481447,9638.302024,9764.741276,4957.188635,5650.478844,0,9741.866155,6958.88973,7572.337519,6140.893702,7565.109397,31245.719735
"46297",46297,"F","WBRP",56.7041095890411,21.6849315068493,299621.810008,254678.538506,0.05,44943.271501,33670.536844,30478.351463,22786.467738,20807.687221,24790.025949,0,27784.488426,26660.759046,24953.959661,26373.475709,19586.407826
"46630",46630,"M","WBRP",42.1123287671233,7.25753424657534,98091.58835,34332.055923,0.05,63759.532428,0,0,0,0,0,0,0,0,0,0,32424.419775
"47044",47044,"M","WBRP",41.027397260274,23.6876712328767,393795.133451,315036.106761,0.05,78759.02669,43127.495319,41547.041297,27363.104637,21800.554121,27116.68107,42601.857762,34495.70948,31040.725853,31209.700575,31642.672665,11856.532621
"47111",47111,"F","WBRP",37.4383561643836,16.8438356164384,154733.632198,100576.860928,0.05,54156.771269,7752.960815,7224.636058,3991.534907,0,7389.951803,0,5605.101179,6538.878655,4826.964915,6379.027182,45969.38508
"47136",47136,"M","WBRP",40.5260273972603,21.2657534246575,284434.606943,213325.955207,0.05,71108.651736,29975.7015,0,18395.422059,16051.626303,20656.165442,0,23617.144824,22451.673526,20881.661574,22610.318733,37429.000423
"47179",47179,"F","WBRP",56.6191780821918,8.75342465753425,309905.731125,170448.152119,0.05,139457.579006,0,15304.97871,9255.229739,8386.306195,0,0,12420.774526,12068.32135,10917.055989,12834.248885,87499.034376
"47728",47728,"M","WBRP",60.3698630136986,11.9232876712329,384216.513919,192108.25696,0.05,192108.25696,14339.288089,13497.219302,8622.850982,6782.296699,12353.009958,14112.596486,11222.48729,10165.429312,0,11199.05272,86478.745404
"48112",48112,"M","WBRP",43.2821917808219,14.0931506849315,421735.989963,337388.791971,0.05,84347.197993,50115.914996,48055.292357,29239.816616,22613.220102,28592.103801,49456.770958,38455.73599,34111.863187,34191.883186,34696.68683,10325.18696
"48290",48290,"F","WBRP",43.5287671232877,9.50684931506849,123615.289474,67988.40921,0.05,55626.880263,0,4558.102139,2888.817731,2607.301885,0,4891.717305,3858.913784,3742.541026,3360.303067,3982.350877,37783.425251
"48363",48363,"M","WBRP",56.6191780821918,14.3452054794521,403171.383033,262061.398972,0.05,141109.984062,17952.270995,16320.469883,9634.62618,11179.690295,16526.011464,17384.67919,13253.794241,14574.828837,11424.024179,14498.269411,104768.856876
"48710",48710,"F","WBRP",40.3561643835616,20.4328767123288,270208.042814,229676.836392,0.05,40531.206422,38402.467268,34811.492532,0,20342.694053,25311.80336,0,31758.044589,28182.146922,28562.109374,28592.590562,9584.078003
"48891",48891,"F","WBRP",58.0383561643836,9.25753424657534,160911.074665,80455.537332,0.05,80455.537332,6579.387291,6311.282308,4050.381717,2641.4512,5152.903603,6528.425812,5211.080649,4300.93737,4698.051723,4927.607779,32506.399213
"48916",48916,"F","WBRP",55.5369863013699,15.1780821917808,422606.516555,274694.235761,0.05,147912.280794,25010.279623,0,13107.294255,14766.525186,0,24251.06843,18247.971048,19773.457705,15667.472332,19737.167925,114540.482194
"49035",49035,"F","WBRP",42.7780821917808,14.8438356164384,411352.248582,267378.961578,0.05,143973.287004,19311.227445,17995.265738,0,12988.171764,18407.037451,18884.168938,13961.296374,16287.167697,12023.099249,15889.006501,109866.821632
"50177",50177,"M","WBSU",39.027397260274,16.2630136986301,158180.001877,110726.001314,0.05,47454.000563,7365.052682,7220.807504,3852.660729,5125.471546,7006.821698,7348.213334,5365.711157,6315.200169,4704.642243,6175.62668,44860.151063
"50181",50181,"F","WBSU",58.2904109589041,7.83835616438356,132040.697444,54279.123041,0.05,65043.974514,0,0,0,0,0,0,11818.645679,0,10511.203699,0,34147.849524
"50492",50492,"M","WBSU",43.8630136986301,4.42191780821918,359777.795602,143911.118241,0.05,215866.677361,0,0,10679.281852,0,0,0,13570.809736,0,0,0,130841.028466
"50681",50681,"M","WBSU",56.4520547945205,22.3506849315068,443592.120888,377053.302755,0.05,66538.818133,49861.193522,46732.476835,32161.110851,26232.232834,33011.215512,48688.101152,40181.874871,36466.223938,36138.401289,36979.648149,12829.807187
"50719",50719,"F","WBSU",57.1232876712329,10.3424657534247,405341.453836,189687.132768,0.05,202670.726918,14608.786819,13676.504022,8963.30093,6281.396262,12035.984483,14353.97661,0,9877.878015,10330.87618,11136.500076,94778.74644
"51738",51738,"M","WBSU",61.3698630136986,9.50684931506849,140256.627183,67303.727601,0.05,70088.039259,0,12912.50948,8126.514302,0,0,0,0,0,0,10607.918356,35239.644002
"51905",51905,"F","WBSU",46.613698630137,17.5123287671233,158544.584483,103053.979914,0.05,55490.604569,7097.912039,6492.198562,3722.433558,4565.283153,0,6890.12419,5179.844218,5856.121623,4452.193926,5767.813513,48434.924713
"51914",51914,"M","WBSU",56.786301369863,5.58904109589041,245236.30898,98094.523592,0.05,147141.785388,0,4501.292239,2831.058784,1945.884576,4040.56455,0,3513.043008,2999.662414,3310.913474,3557.403379,76288.667803
"51978",51978,"M","WBSU",57.9561643835616,11.5945205479452,333038.977515,178975.148975,0.05,149867.539882,0,15433.444657,9556.938046,8456.82903,14853.216402,16368.84118,0,12280.441663,11193.719849,0,86433.20232
"51985",51985,"F","WBSU",55.7041095890411,20.6,440328.310094,392465.183328,0.05,43986.303805,56665.273698,0,46113.059959,33946.356114,40322.353659,55583.022599,51228.874907,44017.994269,48436.184341,45649.822278,3337.506109
"52183",52183,"M","WBSU",40.441095890411,14.8438356164384,413357.648099,268682.471264,0.05,144675.176835,19021.654333,17725.425557,9793.109894,12793.413284,18131.022727,18600.999597,13751.945827,16042.940558,0,15650.749815,113709.762617
"52563",52563,"M","WBSU",43.9479452054794,17.5123287671233,143214.193553,98526.338924,0.05,35743.879023,15590.84271,15029.594842,9384.424765,6371.949806,8259.701727,15427.831814,12158.549186,10149.767081,10898.514285,10576.419403,1005.469318
"53372",53372,"M","WBSU",52.3643835616438,10.0904109589041,154616.581147,87978.706292,0.05,61846.632459,0,9245.722037,6145.478983,0,9327.604196,9976.529372,8054.559637,0,7040.985825,0,37734.294089
"53987",53987,"M","WBSU",55.8712328767123,18.5150684931507,317165.85242,222016.096694,0.05,95149.755726,17537.277141,0,9088.80212,11578.187343,15772.042955,17615.608855,12715.879595,14638.595033,11184.78903,14400.70954,80812.019787
"54215",54215,"M","WBSU",41.1123287671233,22.3506849315068,457574.201493,399271.371712,0.05,45097.135432,53831.100763,51957.386374,40954.12285,30878.888981,36807.971151,53133.538388,47071.643797,40926.73669,44111.593566,42234.849214,2308.572318
"54468",54468,"F","WBSU",57.7041095890411,21.9315068493151,219709.727099,186753.268034,0.05,32956.459065,22040.8091,19747.717494,15397.717409,13640.964644,16344.363018,21129.752298,18474.679754,17462.430129,16644.555531,17360.570116,11805.21739
"54487",54487,"M","WBSU",36.6904109589041,8.17260273972603,137859.071511,60558.92241,0.05,75822.489331,4930.866174,5286.927879,2943.033509,1787.306426,3696.563337,5122.195739,3848.015033,3080.719345,3567.023637,3665.984259,26782.418691
"54766",54766,"F","WBSU",58.5397260273973,4.25479452054795,354531.032863,141812.413145,0.05,212718.619718,0,0,4473.915605,3030.858865,6486.035516,7843.893754,5789.473294,4910.806266,5509.291039,5922.131247,109687.229972
"54884",54884,"F","WBSU",42.4438356164384,20.9287671232877,235338.314899,175653.185208,0.05,47067.66298,0,36967.694311,0,20094.421549,25080.964822,39261.928856,0,0,30764.261847,29711.639819,8015.995832
"55383",55383,"M","WBSU",53.2027397260274,17.0109589041096,154121.61691,115591.212683,0.05,38530.404228,0,12105.413443,6525.811999,7186.186805,9467.792777,12337.485736,9050.367344,9665.971749,7937.983797,9560.497647,27318.752965
"55629",55629,"F","WBSU",56.3671232876712,17.5123287671233,407129.487286,264634.166736,0.05,142495.32055,22032.8155,20152.604359,0,14171.215543,20612.354482,21387.81577,16078.890713,18178.141198,13820.172299,0,106141.712812
"56110",56110,"F","WBSU",40.027397260274,13.5095890410959,421895.388819,289134.630802,0.05,105264.660469,50893.613492,49061.516753,30633.833956,20800.129708,26962.369839,50361.492575,39689.484039,33132.161775,35576.317713,0,3728.311453
"56157",56157,"F","WBSU",42.1123287671233,5.42191780821918,326932.99242,130773.196968,0.05,196159.795452,0,5803.179577,3307.124373,2382.140435,0,0,4202.56308,3673.073878,3985.782801,4375.173495,112153.191336
"56844",56844,"F","WBSU",56.9561643835616,15.6821917808219,166265.592454,116385.914718,0.05,49879.677736,10789.606866,0,5549.329788,6325.434209,8707.926486,10905.541837,7790.136087,8476.860829,6874.429613,8468.7693,36188.894214
"57409",57409,"F","WBSU",42.5287671232877,8.42465753424658,144191.4296,57676.57184,0.05,86514.85776,0,0,0,0,0,0,12067.316777,0,0,0,48894.969787
"57480",57480,"M","WBSU",57.7041095890411,22.2684931506849,280146.003947,238124.103355,0.05,42021.900592,0,43810.592009,0,23642.337676,29874.327723,45609.709444,37541.055086,0,33746.818134,34112.214049,6107.225234
"58213",58213,"M","WBSU",40.2794520547945,11.5945205479452,357665.411544,143066.164618,0.05,214599.246926,5286.044852,0,3509.458242,2412.171977,5008.794816,5467.174278,4354.864621,3718.463933,4104.299298,4409.854955,112388.590281
"58224",58224,"M","WBSU",42.8630136986301,21.013698630137,211696.372643,190526.735378,0.05,21169.637264,23789.953928,21496.652876,16602.740377,14572.429164,17283.383056,22884.067593,19930.596321,18750.679095,17998.226126,18650.129568,8548.612155
"58557",58557,"M","WBSU",56.786301369863,9.92328767123288,459832.50205,168779.915346,0.05,252907.876127,16101.537448,16392.816397,10415.539372,6094.834959,12342.579498,16367.165354,13075.636781,0,0,12137.7367,78126.946624
"58635",58635,"M","WBSU",56.786301369863,15.0109589041096,416619.875675,312464.906756,0.05,104154.968919,0,42256.352682,22779.644386,25084.813955,33049.213278,43066.447165,0,33740.996386,27709.110845,0,71125.633979
"58848",58848,"F","WBSU",41.8602739726027,19.8465753424658,433912.547479,368825.665357,0.05,65086.882122,47280.054163,42013.258049,32180.040309,29974.758868,35614.319601,45176.718772,39119.797227,0,34973.345178,37286.951494,31323.724709
"59129",59129,"M","WBSU",60.2082191780822,17.6821917808219,178271.247953,124789.873567,0.05,53481.374386,21275.304265,21554.402549,0,0,0,21503.908681,0,0,13555.228053,16698.999867,25655.560567
"59278",59278,"F","WBSU",42.7780821917808,11.0904109589041,400850.455854,174062.955555,0.05,220467.75072,17565.018155,18634.728593,0,6380.557524,13149.472272,18169.515086,13621.507319,10986.232989,0,13000.83039,75531.508166
"59943",59943,"F","WBSU",39.8602739726027,16.3452054794521,158205.270053,102833.425534,0.05,55371.844518,0,12360.781607,7297.063806,8467.262962,0,13166.791417,0,11038.66969,0,0,47054.021048
"60000",60000,"M","WBSU",45.1972602739726,10.0082191780822,141525.180807,69978.787855,0.05,70762.590404,0,0,7013.961198,4208.580533,8442.424127,0,8837.693845,6997.983931,0,0,36728.046792
"60471",60471,"M","WBRU",41.441095890411,8.42465753424658,480208.644252,71355.423441,0.05,209412.625293,0,8490.73681,0,0,6071.980943,0,6407.412922,5053.362525,0,6030.964621,64293.756182
"60804",60804,"F","WBRU",58.2054794520548,7.92054794520548,525779.80266,109636.745266,0.05,213146.444031,4733.145178,0,2846.250476,2238.716087,4077.509926,4658.318293,0,3355.428277,3303.892566,3696.609068,104562.858369
"60857",60857,"F","WBRU",61.2082191780822,11.6794520547945,214830.836147,58315.460586,0.05,80166.411872,0,0,0,0,15413.990236,0,0,0,11312.75585,0,41694.008525
"60926",60926,"F","WBRU",42.2794520547945,11.5945205479452,713002.507797,105946.855533,0.05,310930.943843,9891.262727,10511.776782,0,3353.962489,0,10232.219395,7893.061061,5950.705473,7361.921858,7163.001758,80856.848483
"60963",60963,"F","WBRU",41.6931506849315,7.25753424657534,421763.340066,87947.006795,0.05,170979.097529,5396.301972,5176.406808,3322.054453,2166.473516,4226.324222,5354.50423,4274.040049,3527.555954,0,4041.540404,71733.678037
"61458",61458,"M","WBRU",45.4438356164384,13.0082191780822,253382.068919,103100.334464,0.05,76973.571306,8478.87468,7458.808303,4450.783734,4920.925188,0,0,6191.39797,6646.420306,5261.654864,6606.25137,64196.183755
"61467",61467,"F","WBRU",46.2821917808219,10.9232876712329,246470.364013,83188.847858,0.05,83631.996079,5330.771941,4703.38617,2783.722562,3082.291441,4668.49358,5102.349487,0,4170.889421,3298.980355,4153.527871,56244.04264
"62287",62287,"M","WBRU",60.3698630136986,11.7561643835616,203264.373375,97514.368206,0.05,54164.636794,16547.57127,0,0,9657.191154,13220.063511,16681.292842,0,0,10613.179158,0,37228.616275
"62453",62453,"F","WBRU",56.7041095890411,18.3479452054795,426028.909855,344832.243476,0.05,41588.536438,46504.87101,44886.162777,35380.406001,26676.377199,31798.531448,45902.244502,40665.35315,35356.747004,38108.15569,36486.829861,15723.085857
"62454",62454,"M","WBRU",56.2054794520548,20.6849315068493,446120.091668,321593.286467,0.05,63782.022176,42339.101379,0,28652.901262,26164.678715,31172.280582,40759.177546,34937.674967,33524.638628,31378.419441,33163.393472,42874.902778
"62890",62890,"F","WBRU",55.786301369863,16.5123287671233,410245.986114,261138.010082,0.05,76372.377968,34604.169591,33691.316127,20870.213963,17678.128852,22059.226012,34328.621093,26990.51892,25047.254523,24252.829554,25320.596164,29663.020726
"63273",63273,"F","WBRU",42.6958904109589,19.013698630137,140199.799948,101065.419983,0.05,20044.438519,25712.675011,0,0,11916.352957,14957.366829,25085.152745,0,17680.390739,0,18265.018646,3790.64867
"63510",63510,"M","WBRU",55.3671232876712,8.59178082191781,700586.356896,64115.356537,0.05,325997.341647,0,0,0,0,0,0,0,0,0,0,63464.906248
"63722",63722,"F","WBRU",57.2054794520548,21.7643835616438,165290.087526,105213.764433,0.05,30770.799633,22141.122522,0,14100.071387,11883.744785,14708.424066,0,17742.51707,16414.675162,0,0,16962.808371
"64237",64237,"M","WBRU",42.4438356164384,21.9315068493151,455014.254318,328004.795499,0.05,65053.625249,43038.591148,38560.922854,30066.775733,0,31915.269276,41259.591066,36075.090751,34098.493725,32501.448432,33899.593974,38614.725615
"64288",64288,"M","WBRU",56.8712328767123,14.3452054794521,601966.478179,203176.142371,0.05,204258.464682,16950.636677,15627.05893,9578.135156,9079.411408,0,16523.664213,0,12769.648989,11240.07747,0,136592.541159
"65322",65322,"M","WBRU",40.441095890411,22.0986301369863,184914.627834,149671.828584,0.05,18051.18986,19176.820069,17638.217098,13356.28904,11399.734544,13604.677793,18577.337536,16049.552849,14887.507401,14564.294105,14917.373866,13041.348205
"65379",65379,"F","WBRU",53.2027397260274,12.0082191780822,195942.332614,79728.293776,0.05,59524.263795,0,7022.063973,4190.171787,4632.784498,6948.407822,7631.263125,5828.8658,0,0,6219.427803,46282.702632
"65757",65757,"F","WBRU",44.0301369863014,14.2630136986301,534669.298139,297398.377228,0.05,121529.008272,32886.203767,29905.513821,20181.53264,17610.165133,22661.783771,31818.414852,25910.260584,24631.627403,22909.174536,24805.676327,75060.67766
"66345",66345,"F","WBRU",57.9561643835616,9.67671232876712,755293.988815,69122.018873,0.05,351453.935824,0,0,0,0,0,0,0,0,0,0,68519.669616
"66690",66690,"F","WBRU",41.6931506849315,23.6876712328767,330893.939381,298592.388156,0.05,16544.696969,39919.153687,39110.828236,0,28843.275324,31890.645497,39624.529948,37286.935912,33994.319479,36070.766311,34743.762064,13636.856678
"66900",66900,"M","WBRU",51.5342465753425,11.2602739726027,203309.857001,68621.283658,0.05,68986.830249,4525.079955,4104.074968,2518.322271,2445.034653,4011.288948,0,3404.485898,3423.926038,2954.28379,3556.524836,46618.671881
"67203",67203,"M","WBRU",41.6082191780822,18.3479452054795,131184.456997,62934.636455,0.05,34957.225156,10771.290007,0,0,7587.608363,10337.447588,0,0,0,0,9013.027134,30560.079305
"67779",67779,"M","WBRU",43.358904109589,12.7561643835616,656382.300346,178173.8453,0.05,244936.03795,14795.669589,0,8363.381225,7578.188523,0,14511.570566,0,10905.398899,0,11597.520451,139725.838575
"68110",68110,"M","WBRU",44.0301369863014,18.1808219178082,353909.876948,225277.819023,0.05,65884.712596,35927.64564,34720.183413,0,16687.664153,21140.085554,35565.749995,27371.108634,24809.38948,24323.216825,25136.472646,16570.023782
"68157",68157,"M","WBRU",42.7780821917808,8.83835616438356,744813.050341,68162.837894,0.05,346576.938082,0,0,0,0,0,0,0,0,0,0,67614.540307
"68180",68180,"M","WBRU",60.4547945205479,20.0958904109589,235666.591042,113059.058758,0.05,62798.97995,7424.65837,7171.79041,3800.140297,4970.382872,6816.087807,7364.151443,5351.343209,6244.668505,4651.496551,6090.320243,60084.753095
"68806",68806,"M","WBRU",38.1917808219178,10.841095890411,227528.56805,61762.238049,0.05,84904.70561,0,0,0,0,11943.106287,13934.271754,0,0,9502.621758,0,37767.674758
"68838",68838,"M","WBRU",51.7835616438356,16.2630136986301,507832.575747,282471.023595,0.05,115429.087687,31235.542463,28404.462657,19168.558469,16726.25593,21524.318047,30221.349209,24609.743661,23395.289074,21759.291498,23560.601939,69269.2131
"68982",68982,"M","WBRU",51.4493150684931,18.5150684931507,200288.408513,111406.149327,0.05,45525.059583,0,28296.49796,0,11996.588504,15550.694182,29046.266121,22891.126864,19109.155406,0,0,5811.082547
"69161",69161,"F","WBRU",39.441095890411,10.5945205479452,211977.007427,71546.626268,0.05,71927.756203,4361.616303,3783.564392,2324.228632,2487.731908,3941.960788,4147.57248,3209.592299,3389.9992,0,3414.906369,49908.150587
"69254",69254,"M","WBRU",57.0383561643836,8.67671232876712,453014.304752,67314.54739,0.05,197553.534259,5981.951403,6464.028577,3776.123966,1980.773216,4039.59026,6229.368105,4799.553243,3555.952694,4508.855643,4317.221309,45057.153164
"69273",69273,"M","WBRU",41.3561643835616,16.2630136986301,512609.688455,285128.190506,0.05,116514.913583,31529.371008,28671.659615,19348.874519,16883.597569,21726.794411,30505.637374,24841.244209,23615.36541,21963.978225,23782.233351,71531.752942
"69727",69727,"M","WBRU",59.3698630136986,17.7616438356164,455992.943125,290257.781452,0.05,84888.741345,37046.278407,35068.909206,23592.08164,19883.748774,24609.970535,36337.538386,29686.580992,27464.850772,26736.597005,27722.64942,33412.528772
"70175",70175,"F","DBRP",45.0301369863014,10.841095890411,395547.020503,0,0,0,44015.875581,47073.533308,28540.006785,16025.037287,32204.250296,45646.286749,35786.734305,27416.236294,33695.87396,32976.03005,-7190.329394
"70897",70897,"M","DBRP",40.9452054794521,18.9287671232877,341904.80458,0,0,0,416386.396521,0,0,0,0,0,0,0,0,0,-13853.826736
"71030",71030,"M","DBRP",47.613698630137,9.25753424657534,371092.152441,0,0,0,35115.446375,32642.261202,18914.524471,21206.486219,31538.458234,34311.835438,25972.442893,28076.924114,22553.814656,28198.12252,-2787.797148
